SAB2010-0158->[1997-HUM-555, 2009-FQM-328, 2008-RNM-116]
2003-CVI-135->[ACC-722-HUM-2002, 2005-CVI-113, 2003-CVI-142]
2003-CVI-120->[2004-TIC-193, 2005-CVI-198, 2006-CVI-213]
2008-HUM-632->[2007-HUM-292, 1997-HUM-226, 2003-HUM-666]
2008-HUM-631->[2000-HUM-398, 2010-HUM-465, 2004-HUM-340]
CGL2008-00247-E->[2008-RNM-140, 1997-HUM-206, 2011-SEJ-467]
2008-HUM-633->[2002-HUM-314, 2007-HUM-810, 2011-HUM-245]
MTM2006-28256-E->[ACPAI-2003-080, 1997-HUM-212, 2003-HUM-633]
2002-HUM-649->[2004-HUM-423, 2000-HUM-452, 2011-HUM-507]
2005-RNM-240->[2002-RNM-135, 2005-RNM-138, 2008-RNM-185]
2007-TIC-112->[2010-TIC-205, 2011-TIC-214, 2000-TIC-130]
DPI2006-26332-E->[ACPAI-2003-027, 2011-CTS-259, 2006-TIC-179]
JC2008-00316->[ACPAI-2003-086, 2005-CTS-160, 2003-CVI-284]
2010-HUM-467->[2003-HUM-136, 2000-HUM-148, 2004-HUM-141]
2002-HUM-657->[ACC-437-SEJ-2001, 1997-HUM-110, 2003-HUM-909]
2005-CTS-523->[2005-CTS-136, 1997-CTS-214, 2003-CTS-902]
2002-HUM-650->[2002-HUM-616, 2010-HUM-656, 2003-HUM-486]
2010-HUM-465->[2011-HUM-744, 1997-HUM-110, 2003-HUM-281]
2005-CTS-528->[ACPAI-2003-082, 2007-CTS-480, 2008-CTS-149]
2003-CVI-127->[2008-TIC-193, 2005-CVI-149, 2003-CVI-183]
2010-AGR-212->[2011-AGR-225, 2004-AGR-153, 2004-TEP-116]
2003-CVI-153->[1997-CVI-204, 2004-CVI-215, 2006-CVI-298]
2008-HUM-646->[2003-HUM-661, 2006-HUM-402, 2011-HUM-171]
2010-AGR-211->[2002-AGR-225, 2008-AGR-212, 2009-SEJ-336]
2010-HUM-491->[2004-HUM-225, 2005-HUM-691, 2010-HUM-322]
1997-FQM-206->[2004-FQM-119, 2008-FQM-296, 2007-FQM-132]
1997-FQM-205->[ACC-516-HUM-2001, 2006-FQM-327, 2004-FQM-328]
1997-FQM-202->[2004-FQM-329, 2010-FQM-134, 2002-FQM-253]
1997-CTS-214->[2003-CTS-388, 1997-CTS-153, 2003-CTS-163]
1997-CTS-211->[2003-CTS-902, 1997-CTS-300, 2008-CTS-547]
SEJ2006-27581-E->[ACC-948-SEJ-2002, 2007-SEJ-480, 2004-HUM-618]
2005-RNM-210->[1997-RNM-177, 2000-RNM-159, 2002-RNM-206]
1997-CTS-221->[ACC-424-FQM-2001, 2010-CTS-114, 2010-TEP-196]
2002-HUM-646->[2002-HUM-124, 1997-HUM-223, 2004-HUM-368]
